joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11
99.1632,-9.402,-8.0143,9.3194,13.9824,-3.1241,48.8112,-22.7984,-5.1479,0.5448,2.8567,-6.1047
9.3368,-6.3403,-1.9836,26.0806,-0.0138,2.7521,-30.6519,-4.8638,1.7783,3.6028,-3.7085,-1.0778
-56.1044,30.2588,3.6802,-2.2339,-14.9892,-2.1527,-25.557,-19.2857,-0.4024,-6.5219,-19.3918,26.0878
-17.4832,19.4507,10.2469,0.8584,-3.016,1.8996,-0.8481,-5.3044,6.5239,0.8544,-4.7653,5.4335
50.8035,2.645,-0.064,-0.674,-3.5625,4.2541,0.6677,-3.6997,4.6391,10.7382,0.0964,11.0413
-14.8234,-17.4135,-20.7612,3.0486,-3.545,10.0487,-2.9393,-1.479,5.6806,6.4089,-11.6028,38.9985
-28.0053,-1.6988,17.3327,-2.1269,-22.0123,65.1688,1.2142,-0.0862,2.4284,-1.2378,1.4177,-0.6332
21.3729,21.3484,-10.7946,-9.4519,35.5422,-58.5042,10.529,-8.4656,10.8647,-13.4806,-5.8202,-0.0822
9.6541,-27.0552,35.3632,38.5164,24.5711,5.0065,7.5606,4.2519,-28.3386,18.4127,-13.3567,19.3138
-33.1168,22.96,-12.1126,-17.7892,24.3148,-7.1205,-10.1537,-18.1483,58.6113,-3.111,-19.9942,27.6363
22.3832,-10.949,8.2978,-24.0102,1.6048,4.7931,-8.4405,-3.1356,-6.2497,-10.2373,-0.5572,-15.6569
-8.7077,4.61,24.5265,0.4195,-12.878,-3.2446,1.6132,21.9673,-24.7386,19.9559,17.9591,-29.8267
1.3105,-12.404,-24.9439,92.7468,-28.6314,3.8019,4.8954,38.9515,-41.5455,5.6237,4.4311,-0.2098
10.4942,11.991,17.5707,-25.7167,-2.2019,-1.4902,15.9327,40.5164,-9.7845,-25.9714,-3.2562,-1.5429
10.371,-17.0266,34.6885,-61.2097,-6.045,1.9881,0.6002,14.8713,-2.9877,-5.8922,8.0524,-2.8162
-13.8384,6.0854,-33.2452,16.3798,-0.4864,-0.0296,-21.2451,-3.0542,-8.5605,31.277,-19.3989,49.3176
-17.4832,19.4507,10.2469,0.8584,-3.016,1.8996,-0.8481,-5.3044,6.5239,0.8544,-4.7653,5.4335
49.3683,2.5441,-5.5399,-1.2311,-3.3136,3.7474,1.2241,-2.9618,3.1326,10.0999,4.7796,-18.0391
-23.9961,-22.7663,2.9208,4.0678,-2.9539,7.6895,-3.886,-2.9568,7.4716,5.8477,-9.0071,-8.4573
6.5658,5.592,-0.2966,-3.6765,-17.9274,52.6433,4.436,-1.5104,3.1379,-31.8579,1.0848,-9.1688
-4.4897,10.6604,-2.618,10.1997,-8.1775,68.6,-2.9864,-10.1955,20.6236,6.7168,4.5308,21.5207
27.4829,-25.631,8.0835,-26.6009,51.461,-43.3717,24.2281,-7.4358,-13.3991,5.6329,13.6233,-49.871
-12.1214,12.1058,29.6742,16.4139,9.7009,39.4116,-2.7055,-11.0939,67.1793,17.4526,-20.776,59.8885
23.1216,-11.9822,20.5477,6.2503,11.2038,-34.1692,-20.5522,52.0963,-79.2444,-9.9686,5.4765,-10.2683
-10.5404,-0.1657,31.3069,-22.6118,-21.8243,10.5334,15.7601,22.1383,-2.4981,-26.3241,6.2244,-31.493
-41.4872,-0.433,6.1147,18.4242,-35.8587,-4.6761,-2.2803,2.8029,15.4236,6.3626,-2.9066,6.8551
19.4954,-3.6227,-5.5323,3.4997,-17.5172,1.0789,-20.9917,-17.0895,17.0214,18.5815,-3.4857,19.3707
42.9563,-13.5471,17.9429,-7.0125,1.5739,-1.5639,-3.7632,2.9317,10.5729,-17.2178,2.371,-6.2002
-16.692,17.9079,-4.3458,1.1407,0.6514,1.7747,-0.912,4.9516,-3.1819,6.1423,-11.7658,23.3874
-18.5164,-19.2407,9.0153,-2.8712,-0.7468,0.2533,2.6689,-0.0176,-0.5505,-6.3732,-11.1937,23.6492
16.3176,3.5962,-4.8966,-4.1044,-0.9409,0.0488,4.636,-0.1922,-0.1918,1.4325,-8.4693,20.2475
3.9113,25.0226,-5.6237,1.7179,0.2082,0.4332,-1.9807,0.2983,0.2675,11.953,-5.387,26.3897
-10.5474,-10.8171,18.5554,3.5551,0.7701,-0.9253,-4.0511,-1.1548,0.0153,-10.1508,-1.8902,19.2629
