step,link_index,link_name,normal_force,lateral_friction
180,7,toeFL,247.6225548578934,3.0
180,3,toeFR,183.1942558279252,3.0
190,15,toeRL,620.985044761823,3.0
200,15,toeRL,0.0,3.0
210,7,toeFL,0.0,3.0
220,15,toeRL,273.5064841210638,3.0
230,15,toeRL,0.0,3.0
230,7,toeFL,0.0,3.0
240,15,toeRL,0.0,3.0
250,3,toeFR,73.22048447185792,3.0
260,3,toeFR,658.2871522708011,3.0
270,15,toeRL,592.7056230652595,3.0
270,7,toeFL,0.0,3.0
280,15,toeRL,682.8883287121417,3.0
280,11,toeRR,1024.405102156961,3.0
290,15,toeRL,0.0,3.0
310,11,toeRR,357.0009173143819,3.0
310,7,toeFL,337.5973260996398,3.0
320,11,toeRR,46.89065769943659,3.0
320,7,toeFL,0.0,3.0
330,15,toeRL,488.7308455865149,3.0
330,7,toeFL,311.5409614224845,3.0
340,15,toeRL,629.5237367965807,3.0
340,7,toeFL,0.0,3.0
360,3,toeFR,211.07715123561002,3.0
370,11,toeRR,0.0,3.0
370,15,toeRL,431.1493801686941,3.0
380,3,toeFR,0.0,3.0
390,11,toeRR,0.0,3.0
410,7,toeFL,950.8835973894661,3.0
410,15,toeRL,405.7649449917201,3.0
420,11,toeRR,0.0,3.0
420,15,toeRL,0.0,3.0
430,11,toeRR,425.10925331796153,3.0
430,3,toeFR,372.58876890728544,3.0
450,11,toeRR,0.0,3.0
10,11,toeRR,369.7403280507735,3.0
10,7,toeFL,8.214521693379044,3.0
20,11,toeRR,0.0,3.0
20,15,toeRL,0.0,3.0
