#{"t_start": 1746485341.7237988, "env_id": "None"}
r,l,t
273.086353,199,3027.475556
47.007885,765,3032.620458
8.080976,1,3032.825767
1257.826292,718,3054.012963
1023.642127,631,3058.158598
-1372.322074,1405,3084.2905
139.110718,134,3085.270667
2487.357526,847,3090.19913
8.882598,1,3090.404991
1182.502805,684,3095.832504
2985.677637,743,3117.555922
563.857235,343,3120.397132
328.577756,654,3124.092323
-4554.666448,1932,3155.089779
514.891636,259,3157.064432
26.421732,314,3176.714044
1292.443425,674,3181.683955
8.082687,1,3181.873256
319.031706,909,3187.880047
1574.165201,524,3207.986565
1198.914485,392,3210.500986
1147.502555,777,3216.150389
5.942002,1,3216.351257
662.897286,1158,3240.600459
677.696917,323,3242.950458
-3864.648684,2129,3273.907915
-222.344447,1219,3282.086605
-1524.986561,1076,3306.046933
7.997493,1,3306.244621
657.540283,292,3308.834164
1790.856802,646,3312.271733
502.531219,305,3331.357345
2095.506985,789,3336.67725
166.319514,1033,3343.115637
8.422661,1,3343.317103
-8876.021748,1658,3371.11833
1955.987619,1063,3396.189767
719.82294,273,3398.139691
-7303.558967,1320,3424.063953
1217.760189,1940,3455.404302
640.308322,267,3457.274173
1155.499555,337,3459.688298
7.285107,1,3459.897665
-1886.391077,620,3464.200595
1191.574951,449,3467.810275
1.869434,1334,3495.963419
759.997714,948,3502.985853
1086.399989,537,3522.959085
-2036.556364,699,3527.284936
2108.940539,603,3531.708153
-164.965384,230,3533.141028
745.15399,592,3553.522617
835.140015,547,3556.973467
1224.873978,447,3560.248729
8.201229,1,3560.446649
194.635372,214,3562.450748
1427.861592,536,3583.325393
-4130.280266,1813,3613.198451
-33.346396,366,3616.073021
-40.086419,276,3617.979618
7.810179,1,3618.174961
840.234418,663,3622.796309
914.380153,295,3625.57306
-660.948577,1334,3651.355237
-128.868081,964,3657.755398
775.793274,371,3677.446246
-752.798656,822,3683.185382
593.277324,446,3687.089806
6.244762,1,3687.294861
2601.271663,569,3691.332792
2255.841638,717,3714.029871
-43.017958,1094,3721.349869
1347.14807,932,3744.773015
938.372597,396,3748.188437
-9.986438,247,3750.319851
98.504119,322,3752.351565
1063.428236,1315,3778.47886
7.908182,1,3778.694498
1278.384855,582,3782.829672
891.756667,480,3786.519448
583.083724,269,3806.263378
-2094.152163,1266,3814.004318
1976.626455,1354,3839.79961
52.278269,488,3843.054918
148.32232,88,3843.730771
105.892715,107,3844.510648
1220.395334,646,3866.051043
-95.793677,481,3869.638123
1096.245271,1127,3877.249367
680.86881,382,3880.516227
731.35955,283,3898.921174
1737.192597,750,3904.723882
381.538127,580,3908.292213
261.364174,233,3910.456458
1785.594329,1043,3934.902637
2267.628834,876,3941.511627
991.138267,285,3943.420419
-2313.135858,2281,3994.011389
1960.292008,673,3999.174766
8.483581,1,3999.369268
472.987863,1069,4006.013981
1815.592908,485,4026.867683
2844.850458,1002,4033.383298
49.508987,72,4034.011543
1578.299544,1091,4059.642796
1250.099566,295,4061.318268
2011.039215,732,4066.336967
827.412986,866,4089.292786
187.990384,122,4090.771672
492.765982,1256,4099.962268
553.790237,239,4101.515592
1136.401444,1326,4127.029354
