step,leg,toe_y,toe_z,hip_angle,knee_angle
328,RL,-0.1808,0.4033,-2.4236,-2.2485
329,RL,-0.1793,0.3929,-2.4229,-2.2501
330,RL,-0.1783,0.4003,-2.4220,-2.2515
331,RL,-0.1781,0.3918,-2.4210,-2.2528
332,RL,-0.1787,0.4012,-2.4199,-2.2540
333,RL,-0.1786,0.3924,-2.4188,-2.2549
334,RL,-0.1791,0.4014,-2.4175,-2.2557
335,RL,-0.1790,0.3923,-2.4162,-2.2564
336,RL,-0.1795,0.4011,-2.4148,-2.2569
337,RL,-0.1793,0.3916,-2.4133,-2.2572
338,RL,-0.1798,0.4001,-2.4117,-2.2574
339,RL,-0.1797,0.3903,-2.4100,-2.2574
340,RL,-0.1801,0.3985,-2.4082,-2.2572
341,RL,-0.1796,0.3884,-2.4064,-2.2569
342,RL,-0.1797,0.3964,-2.4044,-2.2564
343,RL,-0.1791,0.3859,-2.4024,-2.2558
344,RL,-0.1792,0.3937,-2.4003,-2.2550
345,RL,-0.1784,0.3828,-2.3981,-2.2541
346,RL,-0.1783,0.3905,-2.3958,-2.2530
347,RL,-0.1774,0.3792,-2.3935,-2.2517
348,RL,-0.1772,0.3866,-2.3910,-2.2502
349,RL,-0.1774,0.3781,-2.3885,-2.2486
350,RL,-0.1785,0.3884,-2.3859,-2.2469
351,RL,-0.1788,0.3796,-2.3832,-2.2450
352,RL,-0.1797,0.3895,-2.3804,-2.2429
353,RL,-0.1801,0.3804,-2.3775,-2.2406
354,RL,-0.1809,0.3900,-2.3745,-2.2382
355,RL,-0.1813,0.3806,-2.3715,-2.2356
356,RL,-0.1821,0.3899,-2.3684,-2.2329
357,RL,-0.1826,0.3801,-2.3652,-2.2300
358,RL,-0.1832,0.3890,-2.3619,-2.2269
359,RL,-0.1836,0.3789,-2.3585,-2.2236
360,RL,-0.1840,0.3876,-2.3550,-2.2202
361,RL,-0.1845,0.3771,-2.3515,-2.2166
362,RL,-0.1848,0.3855,-2.3478,-2.2128
363,RL,-0.1837,0.3750,-2.3441,-2.2089
364,RL,-0.1827,0.3837,-2.3403,-2.2048
365,RL,-0.1815,0.3728,-2.3364,-2.2005
366,RL,-0.1806,0.3811,-2.3325,-2.1960
367,RL,-0.1792,0.3698,-2.3284,-2.1914
368,RL,-0.1784,0.3778,-2.3243,-2.1865
369,RL,-0.1774,0.3671,-2.3200,-2.1815
370,RL,-0.1773,0.3759,-2.3157,-2.1763
371,RL,-0.1762,0.3646,-2.3113,-2.1710
372,RL,-0.1761,0.3731,-2.3068,-2.1654
373,RL,-0.1750,0.3614,-2.3022,-2.1596
374,RL,-0.1749,0.3696,-2.2975,-2.1537
375,RL,-0.1755,0.3604,-2.2928,-2.1476
376,RL,-0.1770,0.3712,-2.2879,-2.1412
377,RL,-0.1776,0.3617,-2.2829,-2.1347
378,RL,-0.1790,0.3720,-2.2779,-2.1280
379,RL,-0.1797,0.3621,-2.2728,-2.1210
